,open,high,low,close,volume,date
520,128.3000,128.5300,125.9800,126.1600,5478317,2023-03-09
521,128.4800,128.7400,127.5450,128.0500,2778798,2023-03-08
522,130.2800,130.4200,128.1900,128.2500,3530439,2023-03-07
523,129.6400,130.8600,129.5900,130.1900,2982980,2023-03-06
524,129.3500,129.9050,128.7700,129.6400,2860286,2023-03-03
525,128.3900,129.2200,127.7100,128.9300,3340254,2023-03-02
526,128.9000,129.4726,127.7400,128.1900,3760678,2023-03-01
527,130.5500,130.6100,129.1400,129.3000,5143133,2023-02-28
528,131.4200,131.8700,130.1300,130.4900,2761326,2023-02-27
529,129.6200,130.6700,129.2200,130.5700,3015907,2023-02-24
530,131.5000,131.7000,128.8600,130.7900,3725648,2023-02-23
531,131.9000,131.9900,130.2900,130.9700,3200185,2023-02-22
532,134.0000,134.3850,131.6600,131.7100,4257210,2023-02-21
533,134.5000,135.5800,133.8900,135.0200,3466184,2023-02-17
534,135.5700,135.9672,134.5900,135.0000,2965495,2023-02-16
535,135.2000,136.4450,135.0700,136.4000,2507004,2023-02-15
536,137.0500,137.2400,135.0500,136.0100,3202172,2023-02-14
537,136.0000,137.3900,135.8500,137.3500,4403015,2023-02-13
538,133.7800,135.7700,133.5000,135.6000,5049571,2023-02-10
539,134.9900,135.7300,133.3400,133.7500,3918817,2023-02-09
540,135.7100,136.7400,135.1600,135.9800,4593748,2023-02-08
541,135.6700,136.4000,134.4500,135.8400,3737553,2023-02-07
542,135.8300,136.3200,134.9500,136.1800,4841300,2023-02-06
543,136.3500,136.9500,135.5300,136.9400,3755720,2023-02-03
544,135.9600,136.7200,134.8500,136.3900,6107793,2023-02-02
545,134.4900,135.7900,132.8000,135.0900,5428898,2023-02-01
546,135.5000,135.6500,133.7600,134.7300,7206448,2023-01-31
547,134.3200,136.1100,133.9800,135.3000,5375712,2023-01-30
548,134.4400,135.4880,133.7701,134.3900,8143146,2023-01-27
549,137.5300,138.2700,132.9800,134.4500,17548483,2023-01-26
550,140.4700,141.0300,139.3600,140.7600,7347453,2023-01-25
551,141.2500,142.7500,140.0000,141.4900,4407622,2023-01-24
552,141.4000,142.9850,141.0600,141.8600,5898436,2023-01-23
553,141.6700,141.8600,140.5100,141.2000,7153341,2023-01-20
554,140.0000,142.2300,139.7500,140.6200,4833924,2023-01-19
555,144.4000,144.6780,140.2250,140.4100,6445642,2023-01-18
556,146.4200,147.1800,145.0100,145.1900,2986461,2023-01-17
557,144.0600,146.1000,144.0100,145.8900,2455786,2023-01-13
558,144.8800,146.6600,144.5200,145.5500,2716118,2023-01-12
559,145.0000,145.5300,143.4500,145.2600,3268738,2023-01-11
560,143.6100,144.8500,142.9000,144.8000,2152172,2023-01-10
561,144.0800,145.4700,143.4000,143.5500,3987782,2023-01-09
562,142.3800,144.2500,141.5800,143.7000,3574042,2023-01-06
563,142.4400,142.4980,140.0100,141.1100,2866648,2023-01-05
564,142.0700,143.6150,141.3675,142.6000,3869236,2023-01-04
565,141.1000,141.9000,140.4800,141.5500,3338829,2023-01-03
566,140.5400,140.9000,139.4500,140.8900,2858110,2022-12-30
567,140.5800,142.2600,140.4500,141.0600,2337207,2022-12-29
568,142.4000,142.8100,139.9500,140.0200,2539577,2022-12-28
569,141.7300,142.7200,141.2300,142.4200,2742525,2022-12-27
570,140.5900,141.8565,139.6000,141.6500,2092715,2022-12-23
571,140.9500,141.4400,138.6200,140.8800,3337851,2022-12-22
572,141.8400,143.0900,140.9750,142.1400,3793700,2022-12-21
573,138.8400,141.4250,138.3400,141.2800,5156450,2022-12-20
574,140.1600,140.4400,137.1950,138.8700,5282860,2022-12-19
575,141.2500,141.9150,138.9700,140.1600,9834427,2022-12-16
576,148.5200,148.9800,141.5800,142.3600,6687744,2022-12-15
577,150.4700,151.9100,148.4500,149.8600,4205878,2022-12-14
578,150.3700,153.2100,149.9500,150.5700,8811553,2022-12-13
579,147.8200,149.2100,146.9426,149.2100,4032780,2022-12-12
580,147.4000,148.3400,146.9700,147.0500,3047581,2022-12-09
581,147.9000,149.1530,147.3650,147.7800,2665687,2022-12-08
582,147.3300,148.1050,146.2900,147.2700,3971285,2022-12-07
583,147.3000,147.8000,146.7000,147.5000,2847610,2022-12-06
584,147.9400,148.9300,146.8000,147.4100,2784767,2022-12-05
585,148.1300,149.1600,147.7300,148.6700,2899995,2022-12-02
586,149.9800,150.0100,147.3400,149.1600,4495924,2022-12-01
